gene	occurances	unique alleles
mprA	1244	57
sasA_1	1286	181
ysnF	1205	101
xerC_1	1286	303
menE	626	40
pdxK	1279	65
hmpT	1281	57
malL_1	1276	176
degV	1282	64
murJ_1	1286	163
ygaZ_1	1265	100
nupC	1260	73
gmk_1	1283	67
yecS_1	1283	65
yckB	1274	75
nylA	1283	126
pyrDA	1284	94
cfa	1282	109
malG	1282	62
mdxE	1280	76
bbmA	1283	134
ohrA	1282	41
ohrR	1273	37
uxuA	421	67
por	984	160
rspR_2	1212	88
ahpC	1245	48
ahpF	1256	153
truA_2	1195	89
msrA_2	1284	117
gpr	1117	79
lutR	384	24
gmuC_1	1283	184
gmuD_1	1286	183
ptcB_1	1286	56
licA_2	1274	57
licC_2	1284	212
ohyA	257	29
panP	233	37
gadC_2	1279	162
cycA_2	1101	101
hdfR_2	1246	132
fabD_1	1185	123
madA	1178	100
mdcC	1187	27
accD_1	1183	131
mdcG	1181	59
citG	991	58
ulaA_2	1272	193
fba_1	1256	87
nudC	253	11
paiA_1	699	45
pbuG	1263	83
malL_2	1276	163
hchA_2	614	74
nox_2	1268	163
glpK	1276	74
glpO	1278	111
glpF	1271	53
mutS2_1	1283	199
pgsA2	1268	51
csoR	391	11
glpE	1096	25
cdr_1	1283	218
helD_1	1243	225
pgaC	1243	147
dhaM-2	1278	35
dhaK	1260	83
dhaL_1	186	19
anr	1230	33
betI	1129	52
tyrS1	1280	71
gadC_3	1149	147
nhaC_1	1286	137
ccpA_1	1284	123
mro_1	1160	104
pgmB_1	292	50
malP_1	457	133
ptsG_1	1268	165
mapP_1	318	60
yiaC	1278	40
padC	1272	59
emrB	1276	95
ecdB	675	56
lpdC	1282	131
btuD_1	1286	205
hssR	1280	69
sasA_2	1286	175
gltC_1	1268	117
ydfK	1276	68
bceA_1	1283	76
bceB_1	1220	175
mro_2	1160	120
bglF_1	1286	286
rbsD	1284	39
rbsK	1274	65
degA_2	1276	96
yecD	1262	64
treA	1266	87
agrA_2	791	91
agrB_2	392	54
yjcD	1279	101
spxA_2	1280	103
spxA_3	1263	114
manP_1	496	91
manR_1	729	164
ecfT_2	278	39
ykoD	675	58
arsC	442	67
lacC_2	1018	150
lacR_2	697	70
gatC_2	1226	112
mtnB	1229	52
mhqD_1	147	5
mhqD_2	147	5
mhqA_1	274	39
gmuR	752	48
gmuC_2	1283	176
gmuD_2	1286	191
spxA_4	1219	100
thiD	1271	59
clsA_1	1284	138
mvaS	1282	76
fadA	1269	145
yvgN	1282	66
tuf_2	1286	72
mprF_1	1283	186
rutD	376	28
ctpE_1	1283	194
dnaG	1283	107
sigA	1274	51
mapZ	1280	163
cvfB	1280	61
fur	1034	29
xerD	1131	56
ribT	1285	23
scpA	1285	82
scpB	1285	39
rluB_1	1285	71
fmnP	1284	65
recQ_1	1282	165
cmk	1273	61
ypfD	1284	89
der	1283	68
hupA	1285	8
bepA	1285	92
ypjD	1278	28
cca	1281	67
nhaK	393	67
ettA	1276	113
thyA	1285	57
msrA_3	1083	102
sipV	1282	43
rbgA	1285	91
rnhB	1282	72
topA	1263	92
trmFO	1283	75
xerC_2	1286	331
hslV	1284	32
clpY	1282	73
codY	1282	60
lacX	913	50
plsY	1284	43
yccU	1284	45
parE	1285	91
parC	1285	117
pflB	1284	87
pflA	1269	47
ppaC	1284	59
exuR_1	1193	81
btuD_2	1286	200
garB	1279	112
ribX	1280	70
thiY	1281	82
ssuB	1274	68
ycfH	1081	47
bsaA	1237	38
luxS_1	83	7
metB	973	79
cysM	1262	54
efp	1280	25
dnaJ_1	384	70
lysA	1282	81
dapF	1284	62
dapA	1129	48
dapB	1283	61
dapH_2	1284	93
asd	1283	75
yclM	1282	81
scmP	1279	76
dapX	1282	85
npr	276	23
dinB_1	750	101
galK_2	1285	85
galM	1136	69
lacS	1276	101
rhaS_2	1277	139
kefG	1285	51
yifK	1284	75
scaC	840	52
mntB	822	47
ssaB	800	70
queG	1238	70
pckA	1281	135
thiO	1282	77
ribZ	750	79
argR_1	1286	58
algC	1277	119
ohrB_1	874	55
rclA	1274	90
acuR	1266	47
yedK	706	48
ydbD_1	190	40
ydbD_2	190	31
lacF_3	1279	171
araQ_1	1286	176
graR	1284	58
graS	1272	82
glcU_1	1274	99
yhdG	1276	90
act	1254	54
mtnN	1285	43
rutB	651	32
pepO	1274	115
prs2	1285	63
iscS_1	1286	125
mnmA	1285	80
potE	5	4
arcD1_1	1274	132
vioD	1187	73
sbnD_1	1255	118
topB_2	1286	266
yfdH	1272	70
ogt	1276	49
cysL	1273	74
rodA	1174	79
mgsR	1284	27
gcvH	1284	25
metN2	1273	83
metP_1	1281	77
metQ_1	1286	102
sufS	982	101
iscU	1285	42
yknY_1	118	24
prsA_2	1274	132
prfC	1285	75
yhhT	1283	51
mutY	1283	85
recX	1285	63
rlmCD	1280	99
crtK-2	1250	47
tagU_2	1286	209
cspD	1278	13
sodA	1270	36
czcD	983	82
ghrB_1	1023	95
ktrA	1282	53
vraR	1258	55
liaS	1283	84
greA	1270	28
mltG	1276	81
pbpX_1	1278	182
wbgU	1078	75
rfbB	618	64
ispD	726	39
arnC_1	917	151
arnC_2	917	118
btuD_3	1286	222
tagG	1274	59
rmlD	1280	61
rmlB	1276	64
rfbC	1193	38
rfbA	1283	53
tagO	1282	75
map	1270	43
pepS	1281	92
eis_2	1278	122
celB_1	587	116
licA_3	1219	46
ptcB_2	1286	55
dgaR_2	1286	220
yfmL	1281	78
iolU_1	1241	96
sfsA_1	70	9
sfsA_2	70	8
dtxR	1269	39
zwf	1283	96
ileS	1279	145
divIVA	1285	37
sepF	1284	46
yggS	1282	39
ftsZ	1285	60
ftsA	1275	71
divIB	1285	103
murG	1285	57
murD	1284	101
mraY	1285	54
pbpX_2	1278	182
ftsL	1285	38
rsmH	1285	62
mraZ	1285	39
recN	1283	101
argR_2	1286	64
tlyA	1285	53
xseB	1285	11
xseA	1285	93
folD	1285	64
nusB	1280	28
ypdF	1285	84
manZ_2	1286	150
sorA_2	1284	119
manX_2	1286	117
manX_3	1285	123
dgaR_3	1283	258
rsmA	1259	56
rnmV	1283	50
dtd3	1071	34
steT_2	1286	131
metG	1284	94
oppF_2	1284	92
oppD_2	1285	99
dppC	1260	50
oppB	1258	55
dppE	1105	79
rlmN	1284	75
spoIIIE	1285	102
bglC	861	62
glnQ_1	1280	71
yecS_2	1283	61
proX	1194	42
cna	919	162
upp	1285	34
nlhH	1284	94
glyA	1285	68
ywlC	1285	71
prmC	1281	63
prfA	1284	39
tdk	1066	33
COQ5_1	1097	46
spsB	1285	41
queH	1284	66
ntpJ_1	1284	140
murT	1285	57
gatD	1245	44
mtlD	1095	52
mtlF_1	1286	58
natA	506	53
mtlF_2	1286	65
mtlR	1210	122
gmuF	1275	57
amiE	1284	82
catE	1282	59
azoR	1283	63
pgl	1275	81
ghrB_2	1023	103
araA	1280	88
sgbE	1268	52
xylB_1	1285	158
xylT	1217	112
araR_1	1285	91
rafB	253	31
nadE	1284	52
pncB2	1285	60
mta	1258	74
ccpB	1270	82
celB_2	587	105
groL	1274	73
groS	1283	25
MroQ	1283	59
licC_3	1247	227
yycJ	1278	51
yycI	395	30
walK	1277	119
walR	1067	30
rihB	1222	107
menH_2	1284	151
yjdJ	1124	47
secG	1285	15
est	1285	72
rnr	1283	174
smpB	1281	50
atpB	1284	49
atpE_1	1285	38
atpF	1285	51
atpH	1285	48
atpA	1284	100
atpG	1285	51
atpD	1283	75
atpC	1284	30
murA1_1	1282	102
yvbK	1280	63
bglK	1241	103
nagR_1	877	58
yigZ	927	71
ptcB_3	1220	55
comFA	1270	167
hpf	1281	34
secA	1284	138
prfB	1285	92
ftsE	1284	37
ftsX	1285	74
clsA_2	1284	131
pstS1_1	1281	103
pstB3_1	1285	116
pstB3_2	1285	105
phoU	1285	56
hprK	1284	66
lgt_1	516	49
gpsA_1	1282	129
gtaB_1	1284	103
pepQ	1283	114
ccpA_2	1284	122
ponA_2	1172	208
nfo	1282	104
mntH	1147	136
yheI	1275	179
yheH	1284	176
licT_1	1286	206
licT_2	1286	211
bglF_2	1286	278
murR	232	40
licH	1278	179
bglH_1	1286	223
trxB	1271	98
pgcA	1152	177
czrA	863	24
yqfL	1285	131
zur	1285	61
rpsU	1282	4
yqeY	1283	53
brnQ_2	1279	173
pgpH	1284	228
ybeY	1283	81
dgkA	1283	62
era	1282	139
recO	1281	182
glyQ	1280	175
glyS	1264	248
tagU_3	1264	208
ywqC	1237	169
ywqD_1	417	101
ywqE	1235	184
glvR_1	277	62
pfkB	718	131
fruA_2	1286	247
mngA_1	416	64
lacD2	589	147
yidC	1276	182
acyP	1280	77
trmH	716	81
eriC	1283	190
dacA	1272	195
cspLA_2	1282	29
dinG_1	1279	272
aspB	1285	146
asnS	1283	121
axe2	1281	112
yccF	1283	56
cadA_1	1179	206
ycaM	1285	128
copY	1181	74
copZ_1	725	40
copA	1094	162
copB	1172	174
pstS1_2	1281	121
ctpE_2	1283	212
pepD	364	74
phoR	581	92
phoP	1045	50
ffh	1282	112
tag	1282	77
chrR	1279	70
btuD_4	1282	219
rpsP	1284	9
rimM	1283	40
trmD	1283	59
rplS	1276	33
yjhB	664	58
ugl_1	937	79
dasA	822	89
lacF_4	1163	150
araQ_2	1286	200
alsS	1270	143
aldC	1270	82
xerC_3	1282	345
bga	437	90
sapB	1282	53
nagB	1285	51
ybiT_1	1286	176
rplL	1282	11
rplJ	1285	26
rplA	1284	27
rplK	1283	15
sdhB	1283	57
sdhA	1280	52
nusG	1284	15
secE	1284	12
rpmG3	1282	8
queT_2	1277	83
ytlR	1282	65
recD2	1283	136
pspA	728	32
trmL	1285	22
rlmA	1283	64
cutC	1281	45
mgtE	1283	66
ppnKA	1286	36
yjbM	1285	35
yjbK	1285	51
pepF1_1	1147	129
mecA	1277	38
spxA_5	932	88
yfnB_2	1273	82
rapA	1229	156
sbcD	1279	65
plsC	1284	35
yfiC	1284	54
oatA	953	70
aspS	1275	98
hisS	1284	67
iolS	1245	67
cypC	1195	80
dtd	1282	33
relA	1283	95
rsmE	1283	51
prmA	1283	57
ackA	1274	58
comGA	1282	82
ade	327	41
trmB	1277	42
thiK	1279	27
ecsA	1243	42
hit	1282	31
prsA_3	1161	133
yhaM	1282	65
ywpJ_1	1212	125
dcuR	1244	80
dcuS	642	108
yuaF	1286	48
yqiK	1284	88
iolU_2	1241	108
lytG	1285	55
yesO_1	197	65
araP	546	61
araQ_3	1286	180
yteT	1278	145
xpt	1284	45
purE	1284	44
purK	1283	77
purB	1285	84
purC	1283	81
purS	1285	29
purQ	1285	57
purL	1284	141
purF	1284	92
purM	1285	72
purN	1285	64
purH	1285	109
purD	1278	85
ydhF	1286	79
rssB_1	17	4
ytfQ	1271	133
sbpA	184	19
chvE	1283	102
xylG	1263	114
xylH	1248	99
guaC	1258	61
norG	1257	102
pdhA	1285	73
pdhB	1284	59
pdhD	1276	84
cysQ	1278	76
typA	1284	81
recQ_2	1282	176
ftsW_2	1211	150
pycA	1280	179
rsmD	1285	46
coaD	1285	38
ylbL	1273	84
tadA_1	1283	55
comEC	1270	182
yqeN	1285	100
rpsT	1284	11
zosA	860	76
uppP	1248	60
gpmA_3	1278	102
dinG_2	1279	291
ctsR	1282	30
clpC_1	420	106
rlhA	1281	68
gor	1282	89
menA	1224	69
apbE	1041	74
norW	1207	112
hepT	1252	64
birA	1284	68
ytrE	394	38
rpoB	1284	126
rpoC	1273	128
msrA_4	377	41
comC	1204	84
xylB_2	1285	156
dps_1	549	32
rplM	1284	16
rpsI	1284	57
manR_2	729	185
mngA_2	416	56
manP_2	496	94
fruA_3	1286	244
mngB_1	715	99
mutS_2	1285	161
yadG	1281	57
yadH	1283	59
dus	1285	76
ygaZ_2	1265	113
esxA	369	17
essC	335	73
ywnA	1239	33
qorB	1258	69
ptsG_2	1268	189
sacY	1247	62
yodC	1281	59
msr(C)	1230	97
metE_2	348	66
potD	1285	95
ydcV	1285	64
potB	1274	55
potA	1285	62
acuI	1284	100
coaBC_1	1284	105
coaBC_2	1284	91
panT_2	1279	74
yhfK	1283	72
murB	1283	88
yceM	1282	86
exoA	1270	61
polC_1	1284	174
tsaE	1284	48
pta	1284	58
ung	1285	73
ywpJ_2	1212	108
pnuC	1256	52
pcp	1278	69
bcrA	330	45
arcD1_2	1274	164
murQ	1279	72
pspB	1204	46
eat(A)	1265	141
garK	1080	78
panE_2	926	64
yvbW	1283	94
nhaC_2	1286	142
abgB	1278	89
metQ_2	1286	118
metP_2	1281	78
metN_1	78	11
mgtA	1284	167
ndk	1283	55
ltaS1_1	1251	215
gmuD_3	1264	204
rbsR	1257	91
yvdD	1261	46
fruA_4	1253	224
manP_3	378	47
fba_2	1256	91
mngA_3	80	15
cbh	617	73
asnB	1281	116
rpmGA	736	4
folA	508	48
yfiY	1232	104
fepC	1282	75
feuB	1284	84
feuC	1281	90
yqgN	1284	53
gluP	1277	55
yqgQ	1279	12
glcK	1284	64
yibN	1283	31
galE	1285	83
galT	1284	104
melR_2	1266	149
tsaB	1269	81
tsaD	1281	72
ywqD_2	417	86
arcA	1284	80
arcB	1155	61
arcC1	1014	50
argS	1284	88
phnX	834	97
phnW	1211	130
argR_3	1281	66
rpsB	1285	40
tsf	1285	54
pyrH	1284	49
frr	1255	29
uppS	1285	74
rasP	1284	96
proS	1282	106
polC_2	1284	165
rimP	1281	37
nusA	1285	90
rplGA	1285	28
infB	1284	130
rbfA	1284	34
xpkA	804	181
truB	1282	85
ribF	1282	77
gdhIV	1266	55
glcU_2	1274	94
fra	1206	52
mccF	1237	94
malP_2	457	152
malH	1231	140
glvR_2	277	50
ydeA	1199	78
yfmO	1137	106
proA	1283	68
proB	1284	43
dut	1284	54
radA	1282	78
yacL	1284	65
gltX	1283	72
cysE	1196	35
cysS	1284	78
mrnC	1284	32
sigH	1204	42
veg	1276	12
elaA	1282	47
mscL	1278	35
pgsA	1271	36
cinA	1282	99
recA	1282	59
rny	1283	83
proC	1282	61
mprF_2	1283	187
ispE	1283	45
znuA	1245	56
znuC	1280	37
znuB	1267	51
purR_1	1246	94
glmU	1284	80
prs	1284	59
thiT	1283	49
gmk_2	1283	65
rpoZ	1285	18
priA	1285	133
def1	386	21
fmt	1284	60
rsmB	1285	89
stp	1283	40
prkC	1285	104
rsgA	1285	63
rpe	848	31
thiN	1284	45
mreC	1285	52
pepF1_2	1147	140
ldh_2	1261	76
pth	1284	52
mfd	1283	161
murJ_2	1286	159
pnp_2	1285	81
tilS	1284	79
hpt	1285	36
ftsH	1283	96
hslO	1283	56
dusB	1283	62
lysS	1281	75
pepC	1250	71
ansZ	417	40
yhaX	1271	51
ezrA	1274	72
iscS_2	1286	122
thiI	1285	80
rex_1	1285	71
valS	1285	120
fpgS	1284	91
cspLA_3	587	27
rnj1	1284	87
yrdA	1282	41
clpP	488	21
glpQ	1235	77
miaA	1284	74
hflX	1280	93
glnR	1279	37
glnA	1283	84
pyrG	1283	81
fba_3	267	45
murA1_2	1282	123
rho	1284	79
rpmE2	1282	16
agrA_3	213	41
apxIB	94	8
fruA_5	1008	175
fruA_6	512	99
kbaY	1115	54
ydjF	927	56
yfcJ	1281	68
larR	1285	51
recR	1285	49
tmk	1285	38
darA	1283	25
yabA	1285	14
rsmI	1285	73
dinB_2	750	121
nrdD	1262	105
bceA_2	1283	85
bceB_2	1220	192
srrA_1	1278	94
rcsC_1	1282	169
serS	1250	76
guaB	1277	79
ychF	1280	59
spo0J	1283	52
soj_1	1164	58
rsmG	1282	52
mnmG	1285	107
mnmE	1285	76
misCA	1283	53
rnpA	1285	20
rpmH	1270	5
dnaA	1283	62
dnaN	1267	67
recF	1201	62
gyrB	1261	71
gyrA	1285	122
rpsF	1285	13
ssb_1	1144	54
rpsR	1284	13
gdpP	1279	101
rplI	1279	26
dnaC	1280	63
purA	1284	59
ybiT_2	1286	161
pox5	1269	115
zupT	1278	63
amiA	381	77
oppC	336	42
oppD_3	435	74
oppF_3	451	73
clpE	1280	118
ptsH	1282	11
ptsI	1284	81
dgs	1280	85
glxR	1274	78
ykuJ	1278	14
uvrC_1	1266	167
fabH	1282	79
acpA	1281	15
fabD_2	1185	104
fabG	405	35
fabF	1284	97
accB	1284	42
fabZ_2	1278	45
cfiB	1157	64
accD_2	1183	106
accA	1285	55
yqeH	1284	89
nadD	1284	45
rsfS	1285	28
COQ5_2	1097	57
tmcAL	1285	94
yeeN	1054	20
helD_2	1243	199
ziaA	1285	110
thrS	1284	115
ybbH_1	1203	106
penA	1284	127
yitU	1253	66
pbuO	1285	107
sbnD_2	1255	118
dnaE	1283	149
pfkA	1258	32
pyk	1284	67
gltC_2	1268	109
rpmF	739	4
gnd	1283	84
arlR	353	23
sasA_3	1223	170
yugI	1278	20
patB	1267	101
yumC	1278	77
ypjQ	1277	34
yutF	1278	58
tadA_2	1283	52
lrp	1282	69
rsmF	1285	73
nrnA	1285	61
IMPDH	1284	66
ybaK_1	1279	72
rnj2	1284	95
lolD	1049	41
iadA	1284	80
gtaB_2	1284	91
gpsA_2	1282	110
frlB_2	936	80
glmS_2	392	71
manZ_3	1226	139
sorA_3	915	92
manX_4	1212	106
dgaR_4	1014	193
dgaR_5	287	65
folT	351	23
mgsA	1284	28
msmX	1050	62
niaX	1281	43
nox_3	269	55
hrtA_2	1218	69
rnhC	1284	81
zapA	1283	31
mutS2_2	1283	215
trxA	1226	17
uvrC_2	1266	144
btuD_5	1047	185
yhaP	1282	112
fbp	1276	149
puuD	1282	106
ntpK	1283	41
atpE_2	1285	39
ntpC	1285	94
ntpG	1285	38
ntpA	1285	108
ntpB	1284	85
ntpD	1282	65
ntpJ_2	1284	131
hisC	1150	103
lhpI	1159	91
phzF	248	14
gloA	1284	51
yidA_3	1221	97
lipL	1285	91
rpoE	1283	57
sigV	1283	54
rsiV	1283	90
rpoN1	1284	126
cggR	1285	67
gap_2	1285	83
pgk	1285	80
tpiA	1255	51
eno	1283	78
dapE	1270	119
murE	1283	86
murJ_3	1283	148
rluB_2	1285	71
yteP_1	1227	101
araQ_4	1281	172
rssB_2	17	4
rhaR_2	1241	213
araR_2	1285	84
mngB_2	715	121
gmuE_1	1230	94
rluD_2	1280	82
pbpF	1284	124
rhgT	1249	70
uxaC	967	93
uxaA	1223	84
uxaB	1204	116
exuR_2	1193	95
yesS	1067	133
araQ_5	1223	176
yteP_2	1227	92
lipO	1225	101
yteR_1	208	11
yteR_2	208	12
pemA	1257	86
xynB	935	82
yjmB	1034	109
xerC_4	1261	372
opuAA	1283	58
feoB	1275	143
nrdH	1283	25
nrdE2_1	133	28
nrdF_1	133	18
xly	388	75
manZ_4	1127	132
sorA_4	565	77
manX_5	766	91
alsE	387	31
fruA_7	130	44
manP_4	351	56
manP_5	240	49
manP_6	88	22
manR_3	400	124
nagR_2	877	66
ugl_2	937	81
ulaA_3	1197	201
ulaB	353	22
manR_4	275	82
sstT	1056	84
copZ_2	725	45
cadA_2	1179	228
luxS_2	83	7
metQ_3	257	55
metP_3	84	13
metN_2	78	13
metE_3	69	7
dexB	409	65
malL_3	459	92
treP	333	37
scrB_1	247	49
purR_2	1246	89
gmuE_2	1230	112
hsdS	763	31
ohrB_2	874	62
ydbD_3	54	8
dkgB	190	28
paiA_2	699	66
srrA_2	1278	96
rcsC_2	1282	172
ltaS1_2	1251	201
rlmI	1285	102
aroD	1285	87
ybaK_2	1279	75
baiN	1283	95
gdh	1268	106
pgi	1270	97
xerC_5	1212	344
mapP_2	318	72
ptsG_3	1032	133
malP_3	208	79
pgmB_2	292	51
mro_3	246	63
cmpR	50	9
ybjI	229	40
srtA	795	79
rph	1278	116
murI	1076	52
glnP	1273	46
glnM	1275	49
glnH	1278	47
glnQ_2	1280	82
trpS2	1281	69
pheT	1280	133
pheS	1283	61
yodB	1283	21
addA	1279	201
addB	1283	190
dtpT	1269	105
cdr_2	1283	214
yheS	1283	113
rex_2	1285	82
endA	1230	68
yrrK	1282	30
citS	1246	94
mleS	1279	107
nox_4	8	7
dltA	1234	101
dltC	1275	17
dltD	1272	99
ysdC	1285	60
lplJ	1284	84
trmR	1281	48
dauA	1281	122
tmung	354	38
rplU	1285	19
rpmA	1272	9
xerC_6	1113	265
licC_4	937	179
bsr	391	25
malY	390	50
malX	412	69
ybbH_2	1203	100
glvR_3	54	14
licC_5	418	90
bglA	296	36
glpR	341	45
ulaG	1189	80
ulaA_4	451	126
sgbH	1094	57
ulaE	1182	79
araD	1142	67
gtfA	337	37
malL_4	124	29
agaA_1	615	61
ngcG_1	157	6
melD_1	332	36
msmE	313	37
melA_2	384	57
araQ_6	943	134
ngcG_2	157	4
melD_2	332	33
yesO_2	197	72
melR_3	345	52
uvrA_3	322	102
mhqA_2	274	36
xerC_7	958	218
xerC_8	787	156
ssb_2	1144	117
bin3_1	841	115
entP	278	18
soj_2	1164	130
strA	1102	63
licT_3	1098	154
bglF_3	1285	271
bglH_2	1286	201
mngR	410	55
licC_6	157	40
dgaE	474	57
dgaF	485	53
iolC	426	42
clpC_2	420	119
lexA_2	573	89
macB	125	20
yknY_2	118	20
yknX	108	9
lagD_1	46	18
topB_3	1165	304
bin3_2	841	100
degA_3	994	77
scrB_2	247	52
gmuE_3	840	77
cadC	434	23
cadA_3	411	135
copZ_3	209	20
lgt_2	516	78
lgt_3	222	42
fixK	538	49
dps_2	549	50
cysA	361	49
dnaJ_2	384	62
dnaK	1284	88
grpE	1285	51
hrcA	1285	94
hemW	1277	115
smc_2	1252	258
alaA	1284	58
agaA_2	615	91
hgdH	1284	96
nrdF_2	133	16
tpx	73	7
nrdF2	87	8
nrdE2_2	133	24
nrdI	82	5
yvqK	192	15
xerS	1118	92
doc	697	47
araC_2	380	19
agaA_3	260	45
dinG_3	388	63
fetB	456	52
fetA	451	42
dhaL_2	186	36
bin3_3	693	74
lagD_2	46	18
insK	210	26
tarD	55	8
epsH	36	8
sfsA	1214	77
ypdB	21	6
ycdG	144	6
